video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified
7330634204663008558,2024-02-01T09:04:58,24.0,US,"zach king, Pepsi, pepsi cherry, pepsi commercial, peeps pepsi soda, pepsi peeps, pepsi pink drink, Better With Pepsi, Pepsi Truck, I Really Do Like Pepsi",408400.0,1981.0,1808.0,28100000.0,Don’t forget the cherry 🍒 on top! 🍨 @Pepsi #PepsiPartner #ad ,True,,zachking,Zach King,,,,,,True
7329556330778463534,2024-01-29T11:23:13,15.0,US,"zach king, zach king at grocery store, zach king behind the scene, zach king riize, Grocery Store, zach king cashier, zach king transition, grocery shopping, Magic Ride Zach King, Coolest Zach King Transition",634400.0,1527.0,2092.0,19000000.0,Checkout Clerk,False,,zachking,Zach King,,,,,,True
7336640083673632033,2024-02-17T13:30:39,29.0,US,"Gordon Ramsay, madison bucket list, madison, Happy Cat, pet cat, madison bucket list bert machine, madison bucket list gordon, Cat Litter Tracking, Fluffy Cats, gordon ramsay madison",814700.0,7426.0,6502.0,4700000.0,I hope you had the best time @madison in Miami ! It was such an honour for you to be my VVIP last night at #LuckyCat ! Thx to everyone on TikTok too for helping making sure these dreams come true Gx ,False,,gordonramsayofficial,Gordon Ramsay,,,,,,True
7327709847091301674,2024-01-24T11:56:57,17.0,US,"Gordon Ramsay, zach king, zach king behind the scene, gordon ramsay angry moments, gordon ramsay burger, gordon ramsay react, gordon ramsay zach king, gordon ramsay cooking, gordon ramsay react to lynja, will gordon",2400000.0,12500.0,8175.0,33100000.0,Will Gordon approve my cooking? @Gordon Ramsay ,False,,zachking,Zach King,,,,,,True
7284622289100918058,2023-09-30T10:15:20,15.0,US,"Zachking, moon landing, moon landing was fake, video nasa di bulan, neil armstrong moon landing, nasa videos of space, space videos, landed on the moon, astronaut in space, The Moon Landing",485200.0,8900.0,10600.0,14200000.0,Do you think we really landed on the moon? #moonlanding #space ,False,,zachking,Zach King,,,,,,True
7301489506924973343,2023-11-14T20:08:32,59.0,US,"sprite, mexico sprite, mexico soda, cane sugar, sprite light ice, Mexican Appetizers For Parties, Mexico Bag Soda, sprite cranberry, sprite blue top, mexican candy",55000.0,552.0,1842.0,1400000.0,Is Mexican Sprite better than the United States version? #fyp #mexico #lifehack #sprite #party ,False,,timthetankofficial,timthetankofficial,,,,,,False
7277246818574961966,2023-09-10T13:14:31,6.0,US,"pepsi, Old Pepsi Logo, peeps pepsi soda, pepsi commercial, Pepsi Truck, pepsi peeps, pepsi pink drink, pepsi with orange cap, pepsi bottle with orange cap, Is Pepsi Okay",287.0,8.0,36.0,14400.0,Nah☠️ #fyp #foruyoupage #foryou #pepsi #offbrand #💀 #viral #viralvideo ,False,,fcty_editz,✧𝕱𝖈𝖙𝖞.𝖋𝖙𝖇𝖑✧,,,,,,False
7333728337556229406,2024-02-09T17:12:15,145.0,US,"Guess The Drink, sprite girl, sprite, guess the drink sprite, guess the drink sprite girl, prime drink, caramel syrup, Mustard, guess, Prime Bottles",1400000.0,5365.0,0.0,30300000.0,Should she have to get it on the first try? 😬 #drinkchallenge,False,,wren.eleanor,Wren & Jacquelyn,,,,,,False
7331236184242326790,2024-02-03T00:00:45,16.0,PH,"one of the girls, Jungwon Edit, jungwon, wonology, enhypen live concert, ENHYPEN Edits, i just wanna be one of the girls tonight, Sunoo Edit, jungwon birthday, Jungwon Enhypen",245800.0,6462.0,1461.0,956300.0,"sadly, can't go to the con today in ph but HAVE FUN ENGENES, give your best cheer and shout as loud as you can tonight for enhypen!! 🫶 || ac: @𝟑𝟎𝟑 𝐢𝐌𝐮𝐬𝐢𝐜 #jungwon #enhypen #edit #wonology fc (yt): low-deep",False,,wonology,Cat 🐱,,,,,,False
7337094926901218606,2024-02-18T18:56:09,34.0,US,,20.0,0.0,0.0,2288.0,The Mamen selfie light is a STEAL! Get yours now! Add it to your camera equipment! 😊 👇  #selfielight #tiktokshopping #foryoupage #cameraequipment #hotdeals  @Masoloni ,False,,masoloni,Masoloni,,,,,,False
7336785540706094382,2024-02-17T22:55:24,41.0,US,,68.0,1.0,2.0,2152.0,"youre not alone, youre not crazy and youre understood ❤️ #abuse #narcissist #healingjourney #newmusic ",False,,he1enfeng,Helen Feng,,,,,,False
7337154678729329966,2024-02-18T22:47:56,54.0,US,,72.0,0.0,5.0,371.0,Cant stop falling in love with this song! Are you a laufey fan? #laufey #orchestra #heartbreak #love #fyp ,False,,he1enfeng,Helen Feng,,,,,,False
7305815362153598254,2023-11-26T11:55:13,80.0,US,"narcissistic rage, how to know if you are a narcissist, narcissist boyfriend, relationship, self aware narcissist, what is a narcissistic person, how to deal with narcissist, what is a narcissist, two narcissists in a relationship, how to destroy a narcissist",31900.0,5946.0,1987.0,769700.0,5 signs your dealing with a Narcissist #narcissist #narcissistic #narcissisticex #narcissistsurvivor #narcissisticabuse #narcissisticrelationship ,False,,the_bat_wolf,The Bat Wolf 🦇🐺🦇🐺,,,,,,False
7336795535325662507,2024-02-17T23:34:14,0.0,US,,17.0,0.0,0.0,320.0,Share your experiences and let’s support each other. ❤️ #narcissist #abuse #healing #support ,False,,he1enfeng,Helen Feng,,,,,,False
7335458064855862571,2024-02-14T09:04:43,159.0,US,"abbie cancer video katie suria, katie suria abbie, AbbieHerbert, katie suria abbie video, abbie hospital scene, abbieherbert sick video, katie telling gwenny she has cancer, Alexa And Katie Finds Out She Has Cancer, the circle ending katie, Abbie Ensign Mom Passing Away",366600.0,673.0,1327.0,4700000.0,I DONT KNOW WHAT ELSE TO DO. IM SO SORRY!!!!,False,,abbieherbert,AbbieHerbert,,,,,,True
7336421740224023839,2024-02-16T23:24:00,106.0,US,"Otakoyakisoba, mama lulu, mama lulu disney princess, tiana disney, mama lulu disney, Disney Princess, Disney Characters, disney, disney females, Disney Character Filter",170600.0,7854.0,2807.0,1800000.0,Mama LuLu’s Disney Princess Unpopular Opinions/Hot Takes 👑,False,,otakoyakisoba,otakoyakisoba,,,,,,True
7335600341557480750,2024-02-14T18:16:24,64.0,US,"coldstone, Catchnicecream, Ice Cream, fudge truffle ice cream, Ice Cream Videos, cold stone ice cream, Ice Cream Desserts, Making Ice Cream, Scooping Ice Cream, Rolling Ice Cream",153400.0,132.0,236.0,2900000.0,Replying to @Joshua Bowen #fudge #truffle #icecream #coldstone #valentinesday ,False,,dylanlemay,Dylan Lemay,,,,,,True
7335825029520756010,2024-02-15T08:48:43,65.0,US,"dylan lemay ice cream shop closed, Strawberry, Strawberry Fruits, Coldstone Ice Cream, Strawberry Bouquet, Strawberry Picking, strawberry ice cream, Strawberry Plant, Strawberry Tree, Working At Cold Stone",41900.0,24.0,90.0,500300.0,Replying to @MEHIDI #valentinesday #strawberry ,False,,dylanlemay,Dylan Lemay,,,,,,True
7335513905147514155,2024-02-14T12:41:13,439.0,US,"aryana rose, aryana rose and jean michel, aryana rose jean michel, the moth, aryana rose husband, jean michel basquiat daughter, jean michel daughter, aryana rose and jean michel fairy, jean michel jarre daughter, aryana rose boyfriend",779500.0,80500.0,27000.0,7700000.0,Aryana Rose recounts the depth of her love with a man more than a decade younger than her. #storytime #moth #themoth #storytelling #love #valentines ,False,,mothstories,The Moth,,,,,,False
7335513436161445121,2024-02-14T12:38:40,26.0,FAKE-AD,"Michigan, Jabrill Peppers Michigan, Traverse City Michigan, Michigan Restaurants, Northville Michigan, Benton Harbor Michigan, Millington Michigan, Grand Rapids Michigan, Michigan Basements, Torch Lake Michigan",4540.0,141.0,214.0,2500000.0,Techy days or great-tasting nights? Get both. Make it Michigan like I do.,True,,You Can in Michigan,You Can in Michigan,,,,,,False
7268264052101614894,2023-08-17T08:17:09,53.0,US,"pcos treatment, pcos symptom, pcos hair, what does pcos mean, pcos facial hair, Ovarian Cyst Awareness, happy hormone pcos, Pcos Protein Powder, pcos supplements, Pituitary Gland",22300.0,1000.0,248.0,1100000.0,"Polycystic ovary syndrome is very common about 5 to 10% of people with ovaires have it. It often has many symptoms, including weight gain, irregular cycles, extra hair growth, and acne.  #pcos #teentalk #acne #pcosawareness #period @SlothBoss ",False,,dr.allison.rodgers,Dr. Allison Rodgers,,,,,,True
7167846432576179498,2022-11-19T16:45:11,47.0,US,"pin feathers removal, birds, Parrots, Parrot Birds, Feather Preening, Birds Videos, Animal, Birds Of TikTok, animal videos, wildlife animals",28700.0,427.0,105.0,673000.0,Who else could preen #pinfeathers for hours? 😅🙋‍♀️  #bird #birds #parrot #parrots #zoo #exotics #wildlife #animals #pets #nature #vet #vetmed #veterinarian #veterinary #medicine #veterinarymedicine #veterinaria #medical #doctor #premed #prevet #vettech #quakerparrot #monkparakeet #exoticpets ,False,,exotic.pet.vet,Dr. Rachel Siu,,,,,,False
